Entity1,Relationship,Entity2,Evidence,Evidence URL
ADE,Neurotransmitter,Dopamine,"McDonald et al., (2007)",http://www.ncbi.nlm.nih.gov/pubmed/18094261
ADE,Neurotransmitter,Dopamine,"Suo et al., (2003)",http://onlinelibrary.wiley.com/doi/10.1046/j.1471-4159.2003.01896.x/full
ADF,Neurotransmitter,Serotonin,"Jafari et al., (2011)",http://www.ncbi.nlm.nih.gov/pubmed/21677178
ADF,Neurotransmitter,Serotonin,"Sze et al., (2000)",http://www.ncbi.nlm.nih.gov/pubmed/10676966
CEP,Neurotransmitter,Dopamine,"McDonald et al., (2007)",http://www.ncbi.nlm.nih.gov/pubmed/18094261
CEP,Neurotransmitter,Dopamine,"Suo et al., (2003)",http://onlinelibrary.wiley.com/doi/10.1046/j.1471-4159.2003.01896.x/full
HSN,Neurotransmitter,Serotonin,"Sze et al., (2000)",http://www.ncbi.nlm.nih.gov/pubmed/10676966
NSM,Neurotransmitter,Serotonin,"Jafari et al., (2011)",http://www.ncbi.nlm.nih.gov/pubmed/21677178
NSM,Neurotransmitter,Serotonin,"Sze et al., (2000)",http://www.ncbi.nlm.nih.gov/pubmed/10676966
PDE,Neurotransmitter,Dopamine,"McDonald et al., (2007)",http://www.ncbi.nlm.nih.gov/pubmed/18094261
PDE,Neurotransmitter,Dopamine,"Suo et al., (2003)",http://onlinelibrary.wiley.com/doi/10.1046/j.1471-4159.2003.01896.x/full
RIC,Neurotransmitter,Octopamine,"Alkema et al., (2005)",http://www.ncbi.nlm.nih.gov/pubmed/15848803
RIM,Neurotransmitter,Tyramine,"Alkema et al., (2005)",http://www.ncbi.nlm.nih.gov/pubmed/15848803
ADA,Receptor,DOP-5,"Schafer et al., (n.d.)",THIS STUDY
ADE,Receptor,DOP-2,"Suo et al., (2003)",http://onlinelibrary.wiley.com/doi/10.1046/j.1471-4159.2003.01896.x/full
ADE,Receptor,OCTR-1,"Wragg et al., (2007)",http://www.ncbi.nlm.nih.gov/pubmed/18057198
ADE,Receptor,TYRA-3,"Wragg et al., (2007)",http://www.ncbi.nlm.nih.gov/pubmed/18057198
ADF,Receptor,DOP-5,"Schafer et al., (n.d.)",THIS STUDY
ADL,Receptor,SER-6,"Mills et al., (2012)",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273394/
ADL,Receptor,TYRA-3,"Bendesky et al., (2011)",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3154120/
AFD,Receptor,TYRA-3,"Bendesky et al., (2011)",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3154120/
AIA,Receptor,MOD-1,"Li et al., (2012)",http://www.nature.com/ncomms/journal/v3/n4/full/ncomms1780.html?WT.ec_id=NCOMMS-20120410
AIB,Receptor,MOD-1,"Li et al., (2012)",http://www.nature.com/ncomms/journal/v3/n4/full/ncomms1780.html?WT.ec_id=NCOMMS-20120410
AIB,Receptor,SER-4,"Gürel et al., (2012)",https://dspace.mit.edu/handle/1721.1/85982
AIM,Receptor,DOP-5,"Schafer et al., (n.d.)",THIS STUDY
AIM,Receptor,LGC-53,"Schafer et al., (n.d.)",THIS STUDY
AIM,Receptor,TYRA-3,"Bendesky et al., (2011)",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3154120/
AIN,Receptor,DOP-5,"Schafer et al., (n.d.)",THIS STUDY
AIY,Receptor,DOP-5,"Schafer et al., (n.d.)",THIS STUDY
AIY,Receptor,MOD-1,"Li et al., (2012)",http://www.nature.com/ncomms/journal/v3/n4/full/ncomms1780.html?WT.ec_id=NCOMMS-20120410
AIY,Receptor,OCTR-1,"Wragg et al., (2007)",http://www.ncbi.nlm.nih.gov/pubmed/18057198
AIY,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
AIZ,Receptor,MOD-1,"Li et al., (2012)",http://www.nature.com/ncomms/journal/v3/n4/full/ncomms1780.html?WT.ec_id=NCOMMS-20120410
AIZ,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
ALM,Receptor,DOP-1,"Sanyal et al., (2004)",http://www.ncbi.nlm.nih.gov/pubmed/14739932
ALM,Receptor,LGC-55,"Ringstad et al., (2009)",http://www.ncbi.nlm.nih.gov/pubmed/19574391
ALM,Receptor,TYRA-2,"Rex et al., (2005)",http://www.ncbi.nlm.nih.gov/pubmed/15953361
ALN,Receptor,DOP-1,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
ALN,Receptor,LGC-55,"Pirri et al., (2009)",http://www.ncbi.nlm.nih.gov/pubmed/19477154
ALN,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
AS,Receptor,DOP-1,"Chase et al., (2004)",http://www.nature.com/neuro/journal/v7/n10/full/nn1316.html
AS,Receptor,DOP-3,"Chase et al., (2004)",http://www.nature.com/neuro/journal/v7/n10/full/nn1316.html
ASE,Receptor,DOP-3,"Etchberger et al., (2007)",http://www.ncbi.nlm.nih.gov/pubmed/17606643
ASE,Receptor,DOP-5,"Etchberger et al., (2007)",http://www.ncbi.nlm.nih.gov/pubmed/17606643
ASE,Receptor,TYRA-2,"Rex et al., (2005)",http://www.ncbi.nlm.nih.gov/pubmed/15953361
ASG,Receptor,DOP-4,"Sugiura et al., (2005)",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2005.03268.x/full
ASG,Receptor,TYRA-2,"Rex et al., (2005)",http://www.ncbi.nlm.nih.gov/pubmed/15953361
ASH,Receptor,OCTR-1,"Wragg et al., (2007)",http://www.ncbi.nlm.nih.gov/pubmed/18057198
ASH,Receptor,SER-3,"Mills et al., (2012)",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273394/
ASH,Receptor,SER-5,"Harris et al., (2009)",http://www.ncbi.nlm.nih.gov/pubmed/19193891
ASH,Receptor,TYRA-2,"Rex et al., (2005)",http://www.ncbi.nlm.nih.gov/pubmed/15953361
ASI,Receptor,DOP-6,"Schafer et al., (n.d.)",THIS STUDY
ASI,Receptor,OCTR-1,"Wragg et al., (2007)",http://www.ncbi.nlm.nih.gov/pubmed/18057198
ASI,Receptor,SER-6,"Mills et al., (2012)",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273394/
ASI,Receptor,TYRA-2,"Rex et al., (2005)",http://www.ncbi.nlm.nih.gov/pubmed/15953361
ASK,Receptor,DOP-3,"Ezak et al., (2010)",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0009487
ASK,Receptor,DOP-6,"Schafer et al., (n.d.)",THIS STUDY
ASK,Receptor,TYRA-3,"Bendesky et al., (2011)",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3154120/
AUA,Receptor,DOP-1,"Sanyal et al., (2004)",http://www.ncbi.nlm.nih.gov/pubmed/14739932
AUA,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
AUA,Receptor,TYRA-3,"Bendesky et al., (2011)",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3154120/
AVB,Receptor,LGC-55,"Pirri et al., (2009)",http://www.ncbi.nlm.nih.gov/pubmed/19477154
AVH,Receptor,SER-2,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
AVJ,Receptor,SER-5,"Cunningham et al., (2012)",http://www.ncbi.nlm.nih.gov/pubmed/22768843
AVL,Receptor,DOP-4,"Sugiura et al., (2005)",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2005.03268.x/full
AVM,Receptor,DOP-1,"Tsalik et al., (2003)",http://www.ncbi.nlm.nih.gov/pubmed/14568548
AVM,Receptor,LGC-55,"Ringstad et al., (2009)",http://www.ncbi.nlm.nih.gov/pubmed/19574391
AWB,Receptor,SER-5,"Harris et al., (2009)",http://www.ncbi.nlm.nih.gov/pubmed/19193891
AWB,Receptor,SER-6,"Mills et al., (2012)",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273394/
