Entity1,Relationship,Entity2,Evidence,Evidence URL
ADA,Neuropeptide,PDF-1,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
ADE,Neuropeptide,PDF-1,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
ADF,Neuropeptide,FLP-21,"Macosko et al., 2009",http://www.ncbi.nlm.nih.gov/pubmed/19349961
ADF,Neuropeptide,NLP-3,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
ADL,Neuropeptide,FLP-21,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
ADL,Neuropeptide,FLP-4,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AFD,Neuropeptide,NTC-1,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
AFD,Neuropeptide,PDF-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
AIA,Neuropeptide,FLP-1,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AIA,Neuropeptide,FLP-2,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AIM,Neuropeptide,FLP-10,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AIM,Neuropeptide,FLP-22,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AIM,Neuropeptide,PDF-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
AIM,Neuropeptide,PDF-2,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
AIY,Neuropeptide,FLP-1,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AIY,Neuropeptide,FLP-18,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AIZ,Neuropeptide,FLP-22,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AIZ,Neuropeptide,NTC-1,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
ALA,Neuropeptide,FLP-13,"Nelson et al., 2014",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0142938
ALA,Neuropeptide,FLP-7,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AQR,Neuropeptide,PDF-2,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
ASE,Neuropeptide,FLP-13,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
ASE,Neuropeptide,FLP-21,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
ASE,Neuropeptide,FLP-5,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
ASE,Neuropeptide,NLP-14,"Sherlekar et al., 2013",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0060597
ASE,Neuropeptide,NLP-3,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
ASEL,Neuropeptide,FLP-4,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
ASG,Neuropeptide,FLP-13,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
ASG,Neuropeptide,FLP-21,"Macosko et al., 2009",http://www.ncbi.nlm.nih.gov/pubmed/19349961
ASG,Neuropeptide,FLP-22,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
ASG,Neuropeptide,NTC-1,"Beets et al., 2012",http://europepmc.org/abstract/MED/23112336
ASH,Neuropeptide,FLP-21,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
ASH,Neuropeptide,NLP-3,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
ASI,Neuropeptide,FLP-10,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
ASI,Neuropeptide,FLP-2,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
ASI,Neuropeptide,FLP-21,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
ASI,Neuropeptide,NLP-1,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
ASI,Neuropeptide,NLP-14,"Sherlekar et al., 2013",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0060597
ASI,Neuropeptide,NLP-24,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
ASI,Neuropeptide,PDF-1,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
ASJ,Neuropeptide,FLP-21,"Macosko et al., 2009",http://www.ncbi.nlm.nih.gov/pubmed/19349961
ASJ,Neuropeptide,NLP-3,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
ASK,Neuropeptide,FLP-13,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
ASK,Neuropeptide,FLP-21,"Macosko et al., 2009",http://www.ncbi.nlm.nih.gov/pubmed/19349961
ASK,Neuropeptide,NLP-14,"Sherlekar et al., 2013",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0060597
ASK,Neuropeptide,PDF-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
AUA,Neuropeptide,FLP-10,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AUA,Neuropeptide,FLP-11,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AVA,Neuropeptide,FLP-1,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AVA,Neuropeptide,FLP-18,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AVA,Neuropeptide,FLP-22,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AVB,Neuropeptide,PDF-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
AVD,Neuropeptide,PDF-2,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
AVE,Neuropeptide,FLP-1,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AVG,Neuropeptide,FLP-22,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AVG,Neuropeptide,FLP-7,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AVG,Neuropeptide,PDF-2,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
AVK,Neuropeptide,FLP-1,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AVK,Neuropeptide,NTC-1,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
AVL,Neuropeptide,FLP-22,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AVM,Neuropeptide,FLP-4,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AWB,Neuropeptide,NLP-3,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
AWC,Neuropeptide,FLP-4,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
AWC,Neuropeptide,NLP-1,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
BAG,Neuropeptide,FLP-10,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
BAG,Neuropeptide,FLP-11,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
BAG,Neuropeptide,FLP-13,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
BAG,Neuropeptide,FLP-17,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
BAG,Neuropeptide,NLP-3,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
BDU,Neuropeptide,FLP-10,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
BDU,Neuropeptide,NLP-1,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
BDU,Neuropeptide,PDF-2,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
CEP,Neuropeptide,FLP-22,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
DA,Neuropeptide,FLP-11,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
DD,Neuropeptide,FLP-11,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
DD,Neuropeptide,FLP-13,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
DD,Neuropeptide,NTC-1,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
DVA,Neuropeptide,NLP-12,"Janssen et al., 2008",http://www.ncbi.nlm.nih.gov/pubmed/18339709
DVA,Neuropeptide,NTC-1,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
DVB,Neuropeptide,FLP-10,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
DVB,Neuropeptide,FLP-11,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
FLP,Neuropeptide,FLP-21,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
FLP,Neuropeptide,FLP-4,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
HSN,Neuropeptide,NLP-1,"Karakuzu et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2727560/
HSN,Neuropeptide,NLP-3,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
I1,Neuropeptide,NLP-3,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
I2,Neuropeptide,FLP-15,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
I2,Neuropeptide,FLP-5,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
I2,Neuropeptide,NLP-3,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
I3,Neuropeptide,NLP-3,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
I4,Neuropeptide,FLP-5,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
I4,Neuropeptide,NLP-13,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
I4,Neuropeptide,NLP-3,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
I5,Neuropeptide,FLP-13,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
I5,Neuropeptide,FLP-2,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
I5,Neuropeptide,FLP-4,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
I6,Neuropeptide,FLP-4,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
I6,Neuropeptide,NLP-3,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
IL1,Neuropeptide,FLP-3,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
LUA,Neuropeptide,FLP-11,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
LUA,Neuropeptide,NLP-13,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
LUA,Neuropeptide,PDF-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
M2,Neuropeptide,FLP-18,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
M2,Neuropeptide,FLP-21,"Macosko et al., 2009",http://www.ncbi.nlm.nih.gov/pubmed/19349961
M2,Neuropeptide,NLP-13,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
M2,Neuropeptide,NLP-3,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
M3,Neuropeptide,FLP-13,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
M3,Neuropeptide,FLP-18,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
M3,Neuropeptide,NLP-3,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
M4,Neuropeptide,FLP-2,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
M4,Neuropeptide,FLP-21,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
M4,Neuropeptide,FLP-5,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
M5,Neuropeptide,FLP-1,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
M5,Neuropeptide,FLP-13,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
M5,Neuropeptide,FLP-17,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
M5,Neuropeptide,NTC-1,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
MC,Neuropeptide,FLP-2,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
MC,Neuropeptide,FLP-21,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
MI,Neuropeptide,NLP-3,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
NSM,Neuropeptide,FLP-4,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
NSM,Neuropeptide,NLP-13,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
NSM,Neuropeptide,NLP-13,"Zhang et al., 2014",http://www.ncbi.nlm.nih.gov/pubmed/24353061
NSM,Neuropeptide,NTC-1,"Garrison et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23112335
NSML,Neuropeptide,NLP-3,"Zhang et al., 2014",http://www.ncbi.nlm.nih.gov/pubmed/24353061
NSMR,Neuropeptide,NLP-3,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
OLL,Neuropeptide,FLP-3,"Li et al., 1999",http://www.ncbi.nlm.nih.gov/pubmed/10612695
PDA,Neuropeptide,FLP-7,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
PHA,Neuropeptide,FLP-15,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
PHA,Neuropeptide,FLP-4,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
PHA,Neuropeptide,FLP-7,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
PHA,Neuropeptide,NLP-14,"Sherlekar et al., 2013",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0060597
PHA,Neuropeptide,PDF-1,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
PHA,Neuropeptide,PDF-2,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
PHB,Neuropeptide,FLP-4,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
PHB,Neuropeptide,FLP-7,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
PHB,Neuropeptide,NLP-1,"Nathoo et al., 2001",http://www.wormbook.org/wli/cgc4975/
PHB,Neuropeptide,PDF-1,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
PHB,Neuropeptide,PDF-2,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
PHC,Neuropeptide,FLP-11,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
PQR,Neuropeptide,FLP-10,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
PQR,Neuropeptide,FLP-3,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
PQR,Neuropeptide,PDF-1,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
PQR,Neuropeptide,PDF-2,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
PVC,Neuropeptide,FLP-11,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
PVD,Neuropeptide,FLP-22,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
PVD,Neuropeptide,FLP-4,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
PVN,Neuropeptide,PDF-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
PVP,Neuropeptide,PDF-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
PVP,Neuropeptide,PDF-2,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
PVR,Neuropeptide,FLP-10,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
PVT,Neuropeptide,FLP-5,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
PVT,Neuropeptide,NLP-14,"Sherlekar et al., 2013",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0060597
PVT,Neuropeptide,PDF-1,"Barrios et al., 2012",http://www.ncbi.nlm.nih.gov/pubmed/23143519
PVT,Neuropeptide,PDF-2,"Janssen et al., 2009",http://onlinelibrary.wiley.com/doi/10.1111/j.1471-4159.2009.06323.x/abstract
PVW,Neuropeptide,FLP-2,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
PVW,Neuropeptide,FLP-22,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
PVW,Neuropeptide,FLP-7,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
RIC,Neuropeptide,FLP-22,"Kim et al., 2004",http://onlinelibrary.wiley.com/doi/10.1002/cne.20189/abstract
